92,61,2008-08-01T14:45:37Z,90,13,very good resource for source control general not really tortoisesvn specific though
124,26,2008-08-01T16:09:47Z,80,12,wound using this kind hack but actually works pretty well the only thing you have very careful with your semicolons var strsqlstring var inumber var strsqlsplitarray strsqlsplit for strsqlsplitlength
199,50,2008-08-01T19:36:46Z,180,1,ive read somewhere the human eye cant distinguish between less than values apart this something keep mind the following algorithm does not compensate for this not sure this exactly what you want but this one way randomly generate nonrepeating color values beware inconsistent pseudocode ahead colors entered bcolors holds final colors usedrand new randomassumes less than randomgenint while lencolors generate random number between for each color newred randnext newgreen randnext newblue randnext temp newred newgreen newblue only adds new colors the array temp not colors colorsappendtemp one way you could optimize this for better visibility would compare the distance between each new color and all the colors the array for item color itemsq item item item tempsq temp temp temp dist itemsq tempsq dist absdistnumber can your chosen distance apartif dist number and temp not colors colorsappendtemp but this approach would significantly slow down your algorithm another way would scrap the randomness and systematically through every values and add color array the above example
269,91,2008-08-01T23:49:57Z,260,4,yes thought about that but soon figured out that another domainspecificlanguage dsl would bit too much essentially they need interact with gamestate possibly unpredictable ways for example card could have rule when this cards enter play all your undead minions gain attack against flying enemies except when the enemy blessed trading card games are turn based the gamestate manager will fire onstagex events and let the cards modify other cards the gamestate whatever way the card needs try create dsl have implement rather large feature set and possibly constantly update which shifts the maintenance work another part without actually removing thats why wanted stay with real net language essentially able just fire the event and let the card manipulate the gamestate whatever way within the limits the code access security
307,49,2008-08-02T01:49:46Z,260,28,really great introduction providing script abilities your application different approach would consider language that specifically built for scripting such href href href ironpython and ironruby are both available today for guide embedding ironpython read lua scripting language commonly used games there lua compiler for net available from codeplex href that codebase great read you want learn about building compiler net different angle altogether try href there are numerous examples embedding powershell into application heres thorough project the topic
332,59,2008-08-02T03:00:24Z,330,19,would bit reluctant use nested classes here what you created abstract base class for multimedia driver handle the backend stuff workhorse and separate class for the frontend work the frontend class could take pointerreference implemented driver class for the appropriate media type and situation and perform the abstract operations the workhorse structure philosophy would ahead and make both structures accessible the client polished way just under the assumption they would used tandem would reference something like
344,100,2008-08-02T04:18:15Z,260,6,you might able use ironruby for that otherwise suggest you have directory where you place precompiled assemblies then you could have reference the the assembly and class and use reflection load the proper assemblies runtime you really want compile runtime you could use the codedom then you could use reflection load the dynamic assembly
359,119,2008-08-02T06:16:23Z,260,5,you could use any the dlr languages which provide way really easily host your own scripting platform however you dont have use scripting language for this you could use and compile with the code provider long you load its own appdomain you can load and unload your hearts content
473,49,2008-08-02T15:33:13Z,470,8,what youre doing fine dont let those people confuse you youve written the web services with net then the reference proxies generated net are going quite suitable the situation you describe where you are both producer and consumer the ideal situation you need connect web services that unknown compile time then you would want more dynamic approach where you deduce the shape the web service but start using the auto generated proxy class and dont worry about until you hit limitation and when you come back stack overflow
529,86,2008-08-02T18:16:07Z,180,3,isnt also factor which order you set the colors like you use dillieos idea you need mix the colors much possible from one the next but wheel would more apart does this make sense
