80,26,2008-08-01T13:57:07Z,26,sqlstatementexecute multiple queries one statement,ive written database generation script application create table trole roleid integer primary key rolename varchar create table tfile fileid integer primary key filename varchar filedescription varchar thumbnailid integer fileformatid integer categoryid integer isfavorite boolean dateadded date globalaccesscount integer lastaccesstime date downloadcomplete boolean isnew boolean isspotlight boolean duration varchar create table tcategory categoryid integer primary key categoryname varchar parentcategoryid integer execute this adobe air using the following methods public static function var filefile var streamfilestream new filestream streamopenfile filemoderead var strsqlstring nonquerystrsql public static function nonquerystrsqlstringvoid var new sqlconnection var sqlstatementsqlstatement new sqlstatement sqlstatementtext strsql sqlconnection try sqlstatementexecute catch errorsqlerror alertshowerrortostring errors are generated however only trole exists seems that only looks the first query the semicolon remove the query fails there way call multiple queries one statement,flex actionscript-3 air
90,58,2008-08-01T14:41:24Z,144,good branching and merging tutorials for tortoisesvn,are there any really good tutorials explaining branching and merging with apache subversion all the better its specific tortoisesvn client,svn tortoisesvn branch branching-and-merging
120,83,2008-08-01T15:50:08Z,21,aspnet site maps,has anyone got experience creating sqlbased aspnet sitemap providers ive got the default xml file websitemap working properly with menu and sitemappath controls but ill need way for the users site create and modify pages dynamically need tie page viewing permissions into the standard aspnet membership system well,sql asp.net sitemap
180,2089740,2008-08-01T18:42:19Z,53,function for creating color wheels,this something ive pseudosolved many times and never quite found solution thats stuck with the problem come with way generate colors that are distinguishable possible where parameter,algorithm language-agnostic colors color-space
260,91,2008-08-01T23:22:08Z,49,adding scripting functionality net applications,have little game written uses database backend its and wanted implement the function the cards script what mean that essentially have interface icard which card class implements public class card icard and which contains function that are called the game now make the thing maintainablemoddable would like have the class for each card source code the database and essentially compile first use when have addchange card ill just add the database and tell application refresh without needing any assembly deployment especially since would talking about assembly per card which means hundreds assemblies that possible register class from source file and then instantiate etc icard cardscurrent new mygamecardlibrarycard currentgamestate the language but extra bonus its possible write the script any net language,c# .net scripting compiler-construction
330,63,2008-08-02T02:51:36Z,29,should use nested classes this case,working collection classes used for video playback and recording have one main class which acts like the public interface with methods like play stop pause record etc then have workhorse classes which the video decoding and video encoding just learned about the existence nested classes and curious know what programmers think about using them little wary and not really sure what the benefitsdrawbacks are but they seem according the book reading used cases such mine the book suggests that scenario like mine good solution would nest the workhorse classes inside the interface class there are separate files for classes the client not meant use and avoid any possible naming conflicts dont know about these justifications nested classes are new concept just want see what programmers think about the issue,c++ oop class nested-class
470,71,2008-08-02T15:11:47Z,13,homegrown consumption web services,ive been writing few web services for net app now ready consume them ive seen numerous examples where there homegrown code for consuming the service opposed using the auto generated methods visual studio creates when adding the web reference there some advantage this,.net web-services
580,91,2008-08-02T23:30:59Z,21,deploying sql server databases from test live,wonder how you guys manage deployment database between sql servers specifically sql server now there development and live one this should part buildscript standard windows batch even with current complexity those scripts might switch powershell later enterprise managermanagement studio express not count would you just copy the mdf file and attach always bit careful when working with binary data this seems compatiblity issue even though development and live should run the same version the server all time given the lack explain create table tsql you something that exports existing database into sqlscripts which you can run the target server yes there tool that can automatically dump given database into sql queries and that runs off the command line again enterprise managermanagement studio express not count and lastly given the fact that the live database already contains data the deployment may not involve creating all tables but rather checking the difference structure and alter table the live ones instead which may also need data verificationconversion when existing fields change now hear lot great stuff about the products but for hobby projects the price bit steep what are you using automatically deploy sql server databases from test live,sql-server sql-server-2005 deployment release-management
650,143,2008-08-03T11:12:52Z,79,automatically update version number,would like the version property application incremented for each build but not sure how enable this functionality visual studio have tried specify the assemblyversion but doesnt get exactly what want also using settings file and earlier attempts when the assembly version changed settings got reset the default since the application looked for the settings file another directory would like able display version number the form when user finds problem can log the version they are using well tell them upgrade they have old release short explanation how the versioning works would also appreciated when does the build and revision number get incremented,c# visual-studio versioning
810,233,2008-08-03T20:35:01Z,9,visual studio setup project per user registry settings,trying maintain setup project visual studio yes its legacy application the problem have the moment that need write registry entries hkcu for every user the computer they need the hkcu rather than hklm because they are the default user settings and they change per user feeling that this isnt possible this isnt something the installer should doing but something the application should doing after all what happens when user profile created after the install with that mind still want change little possible the application question possible add registry entries for every user visual studio setup project and the moment the project lists five registry root keys hkeyclassesroot hkeycurrentuser hkeylocalmachine hkeyusers and usermachine hive dont really know anything about the users root key and havent seen usermachine hive can anyone enlighten what they are perhaps they could solve problem above,windows visual-studio registry installation
